original	language_count	multilingual	languages	language_primary	Count
fin;swe;smi;eng;fre;ger	 6	TRUE	Finnish;Swedish;Sami;English;French;German	Finnish	     1
eng;ger;spa;fre;ita;jpn	 6	TRUE	English;German;Spanish;French;Italian;Japanese	English	     1
smi;smn;sms	 3	TRUE	Sami;Inari Sami;Skolt Sami	Sami	     1
fin;eng;mul;swe	 4	TRUE	Finnish;English;Multiple languages;Swedish	Finnish	     1
mis;ger	 2	TRUE	Miscellaneous languages;German	Miscellaneous languages	     1
fin;und;ger	 3	TRUE	Finnish;Undetermined;German	Finnish	     1
swe;spa;swe	 2	TRUE	Swedish;Spanish	Swedish	     1
fin;eng;swe;ger;rus	 5	TRUE	Finnish;English;Swedish;German;Russian	Finnish	     1
fin;eng;tuk	 3	TRUE	Finnish;English;Turkmen	Finnish	     1
fin;eng;kir	 3	TRUE	Finnish;English;Kyrgyz	Finnish	     1
fin;eng;uzb	 3	TRUE	Finnish;English;Uzbek	Finnish	     1
fin;san;fin	 2	TRUE	Finnish;Sanskrit	Finnish	     1
lat;eng;fre;heb	 4	TRUE	Latin;English;French;Hebrew	Latin	     1
lat;gre;swe	 3	TRUE	Latin;Greek, Modern (1453-);Swedish	Latin	     1
fin;eng;nor;est	 4	TRUE	Finnish;English;Norwegian;Estonian	Finnish	     1
lat;ger;heb;fre;swe	 5	TRUE	Latin;German;Hebrew;French;Swedish	Latin	     1
gem;lat	 2	TRUE	Germanic (Other);Latin	Germanic (Other)	     1
lat;swe;eng;fre	 4	TRUE	Latin;Swedish;English;French	Latin	     1
lat;swe;ger;fre;fin;heb;grc	 7	TRUE	Latin;Swedish;German;French;Finnish;Hebrew;Greek, Ancient (to 1453)	Latin	     1
ori	 1	FALSE	Oriya	Oriya	     1
eng;fin;hun	 3	TRUE	English;Finnish;Hungarian	English	     1
swe;ice	 2	TRUE	Swedish;Icelandic	Swedish	     1
spa;eng;fre	 3	TRUE	Spanish;English;French	Spanish	     1
eng;spa;ger	 3	TRUE	English;Spanish;German	English	     1
swe;fin;nor;dan;ice	 5	TRUE	Swedish;Finnish;Norwegian;Danish;Icelandic	Swedish	     1
fin;afr	 2	TRUE	Finnish;Afrikaans	Finnish	     1
nor;fin;ger	 3	TRUE	Norwegian;Finnish;German	Norwegian	     1
fin;tat;eng	 3	TRUE	Finnish;Tatar;English	Finnish	     1
pol;ger	 2	TRUE	Polish;German	Polish	     1
fin;eng;ger;fre;swe	 5	TRUE	Finnish;English;German;French;Swedish	Finnish	     1
eng;ger;sme	 3	TRUE	English;German;Northern Sami	English	     1
ger;slo	 2	TRUE	German;Slovak	German	     1
engestfingerhunitalitlavnorpolrusswe	 0	FALSE	Undetermined	Undetermined	     1
swe;nor;dan;fin	 4	TRUE	Swedish;Norwegian;Danish;Finnish	Swedish	     1
swe;ger;fin;eng	 4	TRUE	Swedish;German;Finnish;English	Swedish	     1
ido;art;swe	 3	TRUE	Ido;Artificial (Other);Swedish	Ido	     1
udm;fin	 2	TRUE	Udmurt;Finnish	Udmurt	     1
ger;eng;rus	 3	TRUE	German;English;Russian	German	     1
ger;fre;dan	 3	TRUE	German;French;Danish	German	     1
ger;lat;grc	 3	TRUE	German;Latin;Greek, Ancient (to 1453)	German	     1
rus;hun	 2	TRUE	Russian;Hungarian	Russian	     1
fin;swe;hun	 3	TRUE	Finnish;Swedish;Hungarian	Finnish	     1
smi;nor;swe	 3	TRUE	Sami;Norwegian;Swedish	Sami	     1
est;rus;ger;eng;fin	 5	TRUE	Estonian;Russian;German;English;Finnish	Estonian	     1
gem;lat;eng	 3	TRUE	Germanic (Other);Latin;English	Germanic (Other)	     1
ger;ita;fre	 3	TRUE	German;Italian;French	German	     1
spa;cat	 2	TRUE	Spanish;Catalan	Spanish	     1
ger;akk;sux	 3	TRUE	German;Akkadian;Sumerian	German	     1
lat;swe;grc;heb	 4	TRUE	Latin;Swedish;Greek, Ancient (to 1453);Hebrew	Latin	     1
lat;eng;swe;fre	 4	TRUE	Latin;English;Swedish;French	Latin	     1
fin;dan;eng;ger;nor	 5	TRUE	Finnish;Danish;English;German;Norwegian	Finnish	     1
sme;eng	 2	TRUE	Northern Sami;English	Northern Sami	     1
swe;dan;nor;fin;eng;fre;ger	 7	TRUE	Swedish;Danish;Norwegian;Finnish;English;French;German	Swedish	     1
spa;por	 2	TRUE	Spanish;Portuguese	Spanish	     1
fin;ita;swe	 3	TRUE	Finnish;Italian;Swedish	Finnish	     1
fin;eng;ger;spa;rup;lit;pol	 7	TRUE	Finnish;English;German;Spanish;Aromanian;Lithuanian;Polish	Finnish	     1
fin;lat;grc	 3	TRUE	Finnish;Latin;Greek, Ancient (to 1453)	Finnish	     1
fin;nor;dan	 3	TRUE	Finnish;Norwegian;Danish	Finnish	     1
fin;swe;est;eng;ger;fre;rus;lit;lav	 9	TRUE	Finnish;Swedish;Estonian;English;German;French;Russian;Lithuanian;Latvian	Finnish	     1
hun;eng;ita	 3	TRUE	Hungarian;English;Italian	Hungarian	     1
fin;hun;ger	 3	TRUE	Finnish;Hungarian;German	Finnish	     1
fin;fre;swe;rus	 4	TRUE	Finnish;French;Swedish;Russian	Finnish	     1
fin;eng;gre	 3	TRUE	Finnish;English;Greek, Modern (1453-)	Finnish	     1
fin;ger;pol	 3	TRUE	Finnish;German;Polish	Finnish	     1
swe;pol	 2	TRUE	Swedish;Polish	Swedish	     1
oss	 1	FALSE	Ossetic	Ossetic	     1
mis	 1	FALSE	Miscellaneous languages	Miscellaneous languages	     1
fin;swe;ara;lin;som;tur	 6	TRUE	Finnish;Swedish;Arabic;Lingala;Somali;Turkish	Finnish	     1
fin;swe;eng;est;ger;lav;lit;pol;rus	 9	TRUE	Finnish;Swedish;English;Estonian;German;Latvian;Lithuanian;Polish;Russian	Finnish	     1
cze;swe	 2	TRUE	Czech;Swedish	Czech	     1
swe;eng;fre;ger;fin	 5	TRUE	Swedish;English;French;German;Finnish	Swedish	     1
fin;fre;lat	 3	TRUE	Finnish;French;Latin	Finnish	     1
ger;eng;spa	 3	TRUE	German;English;Spanish	German	     1
fin;ger;ita;eng;lat	 5	TRUE	Finnish;German;Italian;English;Latin	Finnish	     1
swe;run	 2	TRUE	Swedish;Rundi	Swedish	     1
fin;eng;jpn;por;rus	 5	TRUE	Finnish;English;Japanese;Portuguese;Russian	Finnish	     1
fin;hun;ita	 3	TRUE	Finnish;Hungarian;Italian	Finnish	     1
ind;fin	 2	TRUE	Indonesian;Finnish	Indonesian	     1
tur;ger	 2	TRUE	Turkish;German	Turkish	     1
ger;cze	 2	TRUE	German;Czech	German	     1
eng;heb;grc	 3	TRUE	English;Hebrew;Greek, Ancient (to 1453)	English	     1
fin;ger;lit	 3	TRUE	Finnish;German;Lithuanian	Finnish	     1
ice;fin;eng;ger	 4	TRUE	Icelandic;Finnish;English;German	Icelandic	     1
swe;eng;fre;spa;ger;fin	 6	TRUE	Swedish;English;French;Spanish;German;Finnish	Swedish	     1
eng;gre;mak	 3	TRUE	English;Greek, Modern (1453-);Makasar	English	     1
eng;ger;fre;spa	 4	TRUE	English;German;French;Spanish	English	     1
tat;ara	 2	TRUE	Tatar;Arabic	Tatar	     1
dan;swe;eng;ger	 4	TRUE	Danish;Swedish;English;German	Danish	     1
nor;fin;swe;dan	 4	TRUE	Norwegian;Finnish;Swedish;Danish	Norwegian	     1
fin;est;pol;rus	 4	TRUE	Finnish;Estonian;Polish;Russian	Finnish	     1
fin;hun;rus	 3	TRUE	Finnish;Hungarian;Russian	Finnish	     1
nor;swe;dan;eng	 4	TRUE	Norwegian;Swedish;Danish;English	Norwegian	     1
tat;fin	 2	TRUE	Tatar;Finnish	Tatar	     1
fin;dan;nor;swe;eng;fre;ger	 7	TRUE	Finnish;Danish;Norwegian;Swedish;English;French;German	Finnish	     1
swe;fin;hrv;gre;spa;eng;fre	 7	TRUE	Swedish;Finnish;Croatian;Greek, Modern (1453-);Spanish;English;French	Swedish	     1
fin;eng;ger;lav	 4	TRUE	Finnish;English;German;Latvian	Finnish	     1
dan;eng;swe;nor	 4	TRUE	Danish;English;Swedish;Norwegian	Danish	     1
swe;fin;dan;nor	 4	TRUE	Swedish;Finnish;Danish;Norwegian	Swedish	     1
nor;swe;eng	 3	TRUE	Norwegian;Swedish;English	Norwegian	     1
eng;fre;pol	 3	TRUE	English;French;Polish	English	     1
epo;eng;rus	 3	TRUE	Esperanto;English;Russian	Esperanto	     1
ger;kom	 2	TRUE	German;Komi	German	     1
fin;eng;ger;fre;ita;spa	 6	TRUE	Finnish;English;German;French;Italian;Spanish	Finnish	     1
sla	 1	FALSE	Slavic (Other)	Slavic (Other)	     1
eng;fre;ger;spa;swe;fin	 6	TRUE	English;French;German;Spanish;Swedish;Finnish	English	     1
swe;fiu;fin	 3	TRUE	Swedish;Finno-Ugrian (Other);Finnish	Swedish	     1
chi;fin;eng	 3	TRUE	Chinese;Finnish;English	Chinese	     1
fre;spa;ita;jpn	 4	TRUE	French;Spanish;Italian;Japanese	French	     1
swe;dan;fin	 3	TRUE	Swedish;Danish;Finnish	Swedish	     1
fin;vot	 2	TRUE	Finnish;Votic	Finnish	     1
fin;swe;dan;nor;eng;ger	 6	TRUE	Finnish;Swedish;Danish;Norwegian;English;German	Finnish	     1
fin;eng;est;fre;ger;swe	 6	TRUE	Finnish;English;Estonian;French;German;Swedish	Finnish	     1
fin;eng;swe;ger;fre;por;spa;rus	 8	TRUE	Finnish;English;Swedish;German;French;Portuguese;Spanish;Russian	Finnish	     1
fin;dan;nor;swe;ice	 5	TRUE	Finnish;Danish;Norwegian;Swedish;Icelandic	Finnish	     1
fin;bre	 2	TRUE	Finnish;Breton	Finnish	     1
tig	 1	FALSE	Tigr챕	Tigr챕	     1
swe;eng;dut;fre	 4	TRUE	Swedish;English;Dutch;French	Swedish	     1
tur;und;fin	 3	TRUE	Turkish;Undetermined;Finnish	Turkish	     1
swe;fin;nor;eng;fre	 5	TRUE	Swedish;Finnish;Norwegian;English;French	Swedish	     1
eng;fin;ger;fre	 4	TRUE	English;Finnish;German;French	English	     1
fin;pol;fre	 3	TRUE	Finnish;Polish;French	Finnish	     1
swe;fre;rus	 3	TRUE	Swedish;French;Russian	Swedish	     1
ben	 1	FALSE	Bengali	Bengali	     1
rus;epo;por;fin	 4	TRUE	Russian;Esperanto;Portuguese;Finnish	Russian	     1
smn;smi	 2	TRUE	Inari Sami;Sami	Inari Sami	     1
smn;sme;sms;smi;fin	 5	TRUE	Inari Sami;Northern Sami;Skolt Sami;Sami;Finnish	Inari Sami	     1
fin;eng;swe;dan	 4	TRUE	Finnish;English;Swedish;Danish	Finnish	     1
swe;dut	 2	TRUE	Swedish;Dutch	Swedish	     1
swe;alb	 2	TRUE	Swedish;Albanian	Swedish	     1
fin;grc;heb	 3	TRUE	Finnish;Greek, Ancient (to 1453);Hebrew	Finnish	     1
eng;grc;heb	 3	TRUE	English;Greek, Ancient (to 1453);Hebrew	English	     1
fin;swe;nor;dan;ice;eng	 6	TRUE	Finnish;Swedish;Norwegian;Danish;Icelandic;English	Finnish	     1
fre;ita;fin	 3	TRUE	French;Italian;Finnish	French	     1
swe;eng;ger;jpn;rus	 5	TRUE	Swedish;English;German;Japanese;Russian	Swedish	     1
lat;ger;fin	 3	TRUE	Latin;German;Finnish	Latin	     1
fin;swe;jpn	 3	TRUE	Finnish;Swedish;Japanese	Finnish	     1
kor;eng	 2	TRUE	Korean;English	Korean	     1
gle	 1	FALSE	Irish	Irish	     1
kaz	 1	FALSE	Kazakh	Kazakh	     1
fin;swe;eng;fre;spa	 5	TRUE	Finnish;Swedish;English;French;Spanish	Finnish	     1
fin;swe;eng;ger;fre;ita;spa;por	 8	TRUE	Finnish;Swedish;English;German;French;Italian;Spanish;Portuguese	Finnish	     1
mul;eng;ger;dut;spa	 5	TRUE	Multiple languages;English;German;Dutch;Spanish	Multiple languages	     1
mul;fin	 2	TRUE	Multiple languages;Finnish	Multiple languages	     1
fin;ita;kur;per;som	 5	TRUE	Finnish;Italian;Kurdish;Persian;Somali	Finnish	     1
fin;smi;rus;alb;ara;chi;kur;per;som;tha;vie	11	TRUE	Finnish;Sami;Russian;Albanian;Arabic;Chinese;Kurdish;Persian;Somali;Thai;Vietnamese	Finnish	     1
fin;spa;smi	 3	TRUE	Finnish;Spanish;Sami	Finnish	     1
hrv;eng	 2	TRUE	Croatian;English	Croatian	     1
spa;ara	 2	TRUE	Spanish;Arabic	Spanish	     1
spa;chi	 2	TRUE	Spanish;Chinese	Spanish	     1
eng;may	 2	TRUE	English;Malay	English	     1
eng;hin	 2	TRUE	English;Hindi	English	     1
ger;eng;rus;fin;hun;swe	 6	TRUE	German;English;Russian;Finnish;Hungarian;Swedish	German	     1
spa;hin	 2	TRUE	Spanish;Hindi	Spanish	     1
eng;kaz	 2	TRUE	English;Kazakh	English	     1
eng;fin;jpn	 3	TRUE	English;Finnish;Japanese	English	     1
mar	 1	FALSE	Marathi	Marathi	     1
swe;dan;nob	 3	TRUE	Swedish;Danish;Norwegian (Bokm책l)	Swedish	     1
fin;swe;dan;fao;kal;ice;smi;nor	 8	TRUE	Finnish;Swedish;Danish;Faroese;Kal창tdlisut;Icelandic;Sami;Norwegian	Finnish	     1
fin;swe;ger;eng;fre	 5	TRUE	Finnish;Swedish;German;English;French	Finnish	     1
ger;ara	 2	TRUE	German;Arabic	German	     1
ful	 1	FALSE	Fula	Fula	     1
ger;eng;fin;fre	 4	TRUE	German;English;Finnish;French	German	     1
fin;alb;bul;cze;eng;fre;ger;hun;pol;rum;rus;spa	12	TRUE	Finnish;Albanian;Bulgarian;Czech;English;French;German;Hungarian;Polish;Romanian;Russian;Spanish	Finnish	     1
swe;rus;nor	 3	TRUE	Swedish;Russian;Norwegian	Swedish	     1
fin;est;rus;swe	 4	TRUE	Finnish;Estonian;Russian;Swedish	Finnish	     1
rus;eng;ger;fre;hun;fin	 6	TRUE	Russian;English;German;French;Hungarian;Finnish	Russian	     1
hun;eng;ger;fre;rus	 5	TRUE	Hungarian;English;German;French;Russian	Hungarian	     1
eng;ger;tur	 3	TRUE	English;German;Turkish	English	     1
ger;mul	 2	TRUE	German;Multiple languages	German	     1
swe;fin;nor;dan;eng	 5	TRUE	Swedish;Finnish;Norwegian;Danish;English	Swedish	     1
ind;eng	 2	TRUE	Indonesian;English	Indonesian	     1
fin;swe;eng;rus;est	 5	TRUE	Finnish;Swedish;English;Russian;Estonian	Finnish	     1
fin;eng;est;ita	 4	TRUE	Finnish;English;Estonian;Italian	Finnish	     1
ita;eng;ger	 3	TRUE	Italian;English;German	Italian	     1
hun;fre	 2	TRUE	Hungarian;French	Hungarian	     1
san;fin	 2	TRUE	Sanskrit;Finnish	Sanskrit	     1
fin;eng;ger;hun	 4	TRUE	Finnish;English;German;Hungarian	Finnish	     1
fin;nor;rus	 3	TRUE	Finnish;Norwegian;Russian	Finnish	     1
fin;swe;rus;ger;eng	 5	TRUE	Finnish;Swedish;Russian;German;English	Finnish	     1
ger;eng;fre;swe;fin;est;hun;dut;pol;cze;ita;spa	12	TRUE	German;English;French;Swedish;Finnish;Estonian;Hungarian;Dutch;Polish;Czech;Italian;Spanish	German	     1
fin;rus;mul	 3	TRUE	Finnish;Russian;Multiple languages	Finnish	     1
sma	 1	FALSE	Southern Sami	Southern Sami	     1
nds	 1	FALSE	Low German	Low German	     1
hun;myv	 2	TRUE	Hungarian;Erzya	Hungarian	     1
fin;ita;rus;jpn	 4	TRUE	Finnish;Italian;Russian;Japanese	Finnish	     1
fin;nor;eng;ger	 4	TRUE	Finnish;Norwegian;English;German	Finnish	     1
eng;fre;akk	 3	TRUE	English;French;Akkadian	English	     1
kan	 1	FALSE	Kannada	Kannada	     1
fiu;sme	 2	TRUE	Finno-Ugrian (Other);Northern Sami	Finno-Ugrian (Other)	     1
fre;fin;ger	 3	TRUE	French;Finnish;German	French	     1
tha;eng	 2	TRUE	Thai;English	Thai	     1
swe;eng;ger;fre;chi	 5	TRUE	Swedish;English;German;French;Chinese	Swedish	     1
ger;mis	 2	TRUE	German;Miscellaneous languages	German	     1
fin;fre;eng;ger	 4	TRUE	Finnish;French;English;German	Finnish	     1
arc;eng;spa	 3	TRUE	Aramaic;English;Spanish	Aramaic	     1
spa;jpn;chi;fre;rus	 5	TRUE	Spanish;Japanese;Chinese;French;Russian	Spanish	     1
sme;mul	 2	TRUE	Northern Sami;Multiple languages	Northern Sami	     1
eng;swe;ger;fin	 4	TRUE	English;Swedish;German;Finnish	English	     1
eng;kom	 2	TRUE	English;Komi	English	     1
swe;gre;lat	 3	TRUE	Swedish;Greek, Modern (1453-);Latin	Swedish	     1
tat;eng	 2	TRUE	Tatar;English	Tatar	     1
fin;kal	 2	TRUE	Finnish;Kal창tdlisut	Finnish	     1
fin;swe;ger;dut;eng;rus;fre;spa	 8	TRUE	Finnish;Swedish;German;Dutch;English;Russian;French;Spanish	Finnish	     1
eng;ara;ber	 3	TRUE	English;Arabic;Berber (Other)	English	     1
fin;fiu;rus	 3	TRUE	Finnish;Finno-Ugrian (Other);Russian	Finnish	     1
nor;eng;swe	 3	TRUE	Norwegian;English;Swedish	Norwegian	     1
fin;ger;hun	 3	TRUE	Finnish;German;Hungarian	Finnish	     1
swe;dan;fao;fin;ice;nor	 6	TRUE	Swedish;Danish;Faroese;Finnish;Icelandic;Norwegian	Swedish	     1
fin;eng;arm	 3	TRUE	Finnish;English;Armenian	Finnish	     1
fin;eng;ger;nor;sme	 5	TRUE	Finnish;English;German;Norwegian;Northern Sami	Finnish	     1
swe;dan;ice	 3	TRUE	Swedish;Danish;Icelandic	Swedish	     1
fin;eng;est;fre;ger;rus;swe	 7	TRUE	Finnish;English;Estonian;French;German;Russian;Swedish	Finnish	     1
swe;fin;nor;eng	 4	TRUE	Swedish;Finnish;Norwegian;English	Swedish	     1
fin;eng;eng	 2	TRUE	Finnish;English	Finnish	     1
fin;swe;eng;jpn	 4	TRUE	Finnish;Swedish;English;Japanese	Finnish	     1
fin;lav;eng	 3	TRUE	Finnish;Latvian;English	Finnish	     1
ger;lat;swe	 3	TRUE	German;Latin;Swedish	German	     1
fin;swe;eng;lav	 4	TRUE	Finnish;Swedish;English;Latvian	Finnish	     1
mul;eng;swe;fin	 4	TRUE	Multiple languages;English;Swedish;Finnish	Multiple languages	     1
eng;fin;cze;hun;spa;ger;slv	 7	TRUE	English;Finnish;Czech;Hungarian;Spanish;German;Slovenian	English	     1
eng;fin;swe;rus	 4	TRUE	English;Finnish;Swedish;Russian	English	     1
swe;ger;fre;ara;lat	 5	TRUE	Swedish;German;French;Arabic;Latin	Swedish	     1
fin;swe;fit;mul	 3	TRUE	Finnish;Swedish;Multiple languages	Finnish	     1
fin;swe;fre;eng;ger	 5	TRUE	Finnish;Swedish;French;English;German	Finnish	     1
eng;ita;swe;fin	 4	TRUE	English;Italian;Swedish;Finnish	English	     1
eng;swe;dan	 3	TRUE	English;Swedish;Danish	English	     1
fin;swe;nor;dan;eng;ger;fre;dut	 8	TRUE	Finnish;Swedish;Norwegian;Danish;English;German;French;Dutch	Finnish	     1
mul;eng	 2	TRUE	Multiple languages;English	Multiple languages	     1
ara;fin;swe	 3	TRUE	Arabic;Finnish;Swedish	Arabic	     1
sux;fin	 2	TRUE	Sumerian;Finnish	Sumerian	     1
glg;fin	 2	TRUE	Galician;Finnish	Galician	     1
fin;eng;lat;swe	 4	TRUE	Finnish;English;Latin;Swedish	Finnish	     1
ton	 1	FALSE	Tongan	Tongan	     1
smi;sms;sme;fin	 4	TRUE	Sami;Skolt Sami;Northern Sami;Finnish	Sami	     1
lat;eng;fre;ger;swe	 5	TRUE	Latin;English;French;German;Swedish	Latin	     1
lat;grc;ger;swe	 4	TRUE	Latin;Greek, Ancient (to 1453);German;Swedish	Latin	     1
eng;ger;fre;spa;ita	 5	TRUE	English;German;French;Spanish;Italian	English	     1
bur	 1	FALSE	Burmese	Burmese	     1
fin;eng;est;fre;ger;ita;spa;swe	 8	TRUE	Finnish;English;Estonian;French;German;Italian;Spanish;Swedish	Finnish	     1
fin;swe;dan;nor;ger;est;lav;lit;pol;rus	10	TRUE	Finnish;Swedish;Danish;Norwegian;German;Estonian;Latvian;Lithuanian;Polish;Russian	Finnish	     1
fin;swe;eng;ger;spa;rus;est	 7	TRUE	Finnish;Swedish;English;German;Spanish;Russian;Estonian	Finnish	     1
ger;fre;swe;eng	 4	TRUE	German;French;Swedish;English	German	     1
fin;est;rus;eng	 4	TRUE	Finnish;Estonian;Russian;English	Finnish	     1
fin;swe;ger;fre;rus	 5	TRUE	Finnish;Swedish;German;French;Russian	Finnish	     1
smi;dan	 2	TRUE	Sami;Danish	Sami	     1
lat;rus;swe	 3	TRUE	Latin;Russian;Swedish	Latin	     1
lat;ger;swe;fre	 4	TRUE	Latin;German;Swedish;French	Latin	     1
lat;heb;eng	 3	TRUE	Latin;Hebrew;English	Latin	     1
lat;swe;heb;grc	 4	TRUE	Latin;Swedish;Hebrew;Greek, Ancient (to 1453)	Latin	     1
fin;ira	 2	TRUE	Finnish;Iranian (Other)	Finnish	     1
swe;eng;ger;fre;rus;ita	 6	TRUE	Swedish;English;German;French;Russian;Italian	Swedish	     1
fin;swe;eng;ger;fre;spa;rus;jpn;som;ara	10	TRUE	Finnish;Swedish;English;German;French;Spanish;Russian;Japanese;Somali;Arabic	Finnish	     1
fin;swe;smi;nor;rus	 5	TRUE	Finnish;Swedish;Sami;Norwegian;Russian	Finnish	     1
fin;krl;eng;rus	 4	TRUE	Finnish;Karelian;English;Russian	Finnish	     1
eng;ger;fre;rus;chi	 5	TRUE	English;German;French;Russian;Chinese	English	     1
fin;swe;eng;ger;fre;dut	 6	TRUE	Finnish;Swedish;English;German;French;Dutch	Finnish	     1
fin;rus;est;kom;krl;fiu	 6	TRUE	Finnish;Russian;Estonian;Komi;Karelian;Finno-Ugrian (Other)	Finnish	     1
fin;swe;eng;ger;spa;fre;rus	 7	TRUE	Finnish;Swedish;English;German;Spanish;French;Russian	Finnish	     1
fin;swe;dan;nor;ice;eng;ger	 7	TRUE	Finnish;Swedish;Danish;Norwegian;Icelandic;English;German	Finnish	     1
ger;bul	 2	TRUE	German;Bulgarian	German	     1
fin;eng;ger;fre;rus	 5	TRUE	Finnish;English;German;French;Russian	Finnish	     1
chm;kom;myv;udm	 4	TRUE	Mari;Komi;Erzya;Udmurt	Mari	     1
eng;afa	 2	TRUE	English;Afroasiatic (Other)	English	     1
swe;eng;ger;fre;jpn	 5	TRUE	Swedish;English;German;French;Japanese	Swedish	     1
fin;swe;eng;chi;ndo	 5	TRUE	Finnish;Swedish;English;Chinese;Ndonga	Finnish	     1
fin;swe;est;eng;ger;lav;rus	 7	TRUE	Finnish;Swedish;Estonian;English;German;Latvian;Russian	Finnish	     1
fin;swe;smi;eng;ger;fre	 6	TRUE	Finnish;Swedish;Sami;English;German;French	Finnish	     1
eng;fin;fin;eng	 2	TRUE	English;Finnish	English	     1
swe;nor;den	 3	TRUE	Swedish;Norwegian;Slavey	Swedish	     1
rus;swe;ger;fre	 4	TRUE	Russian;Swedish;German;French	Russian	     1
smi;nor;fin;eng;rus	 5	TRUE	Sami;Norwegian;Finnish;English;Russian	Sami	     1
fin;smi;nor;rus	 4	TRUE	Finnish;Sami;Norwegian;Russian	Finnish	     1
eng;chi;jpn	 3	TRUE	English;Chinese;Japanese	English	     1
fin;dan;ypk	 3	TRUE	Finnish;Danish;Yupik languages	Finnish	     1
kom;fin	 2	TRUE	Komi;Finnish	Komi	     1
fin;swe;eng;ger;est;rus	 6	TRUE	Finnish;Swedish;English;German;Estonian;Russian	Finnish	     1
eng;dan;fin;ice;nor;swe	 6	TRUE	English;Danish;Finnish;Icelandic;Norwegian;Swedish	English	     1
